VOICE_BLOB, CHARACTER_VOICE
"I am Mr. Bilbo Baggins. I have lost the dwarves and I have lost the wizard, and I don’t know where I am; and I don’t want to know, if only I can get away.",Bilbo
"What’s he got in his handses?",Gollum
"said Gollum, looking at the sword, which he did not quite like.",Tolkien
"A sword, a blade which came out of Gondolin!",Bilbo
"Sssss",Gollum
"said Gollum, and became quite polite.",Tolkien
"Praps ye sits here and chats with it a bitsy, my preciousss. It likes riddles, praps it does, does it?",Gollum
